363,CSNK1G2
364,CSNK2A2
365,CSRP1
366,CSTF2
367,CSTF3
368,CTBP1
369,CTBP2
370,CTDSP2
371,CTGF
372,CTLA4
373,CTNNB1
374,CTSC
375,CTSD
376,CTTN
377,CUL4B
378,CUL5
379,CWC22
380,CXADR
381,CXCL1
382,CXCL12
383,CXCL2
384,CXCL3
385,CXCR4
386,CYB5R3
387,CYFIP1
388,CYP1A1
389,CYR61
390,DAD1
391,DAPK1
392,DAXX
393,DAZAP2
394,DBN1
395,DCAF11
396,DCTN3
397,DCTN4
398,DCTN5
399,DCTPP1
400,DCUN1D1
401,DDIT4
402,DDX20
403,DDX3X
404,DDX42
405,DDX5
406,DDX54
407,DDX6
408,DFFB
409,DFNA5
410,DGCR14
411,DGCR2
412,DGCR6L
413,DGKA
414,DGKD
415,DGKH
416,DHCR24
417,DHFR
418,DHRS1
419,DHX15
420,DHX16
421,DHX30
422,DHX38
423,DICER1
424,DIP2A
425,DKK1
426,DLG4
427,DLG5
428,DLL1
429,DMTF1
430,DNAJA3
431,DNAJB1
432,DNAJB11
433,DNAJB2
434,DNAJC10
435,DNAJC2
436,DNMT1
437,DNMT3A
438,DNMT3B
439,DOK4
440,DOK6
441,DOK7
442,DPP7
443,DPY30
444,DPYSL3
445,DR1
446,DRAP1
447,DRD3
448,DSG2
449,DST
450,DSTN
451,DTL
452,DTX1
453,DUSP3
454,DUSP6
455,DUT
456,DVL2
457,DYNC1LI1
458,DYRK2
459,E2F1
460,E2F2
461,E2F3
462,E2F5
463,E2F6
464,EBAG9
465,EBPL
466,ECE1
467,ECHDC2
468,ECHS1
469,EDA2R
470,EDF1
471,EDN1
472,EEA1
473,EEF1A1
474,EEF1A2
475,EEF2
476,EFEMP2
477,EFNA3
478,EFNB1
479,EFNB2
480,EFNB3
481,EFTUD2
482,EGFR
483,EHMT1
484,EHMT2
485,EIF2AK2
486,EIF2S1
487,EIF3A
488,EIF3J
489,EIF3K
490,EIF4A1
491,EIF4B
492,EIF4E
493,EIF4EBP1
494,EIF4EBP2
495,EIF4G1
496,EIF4G2
497,EIF4G3
498,EIF5B
499,EIF6
500,ELAC2
501,ELAVL1
502,ELAVL4
503,ELK4
504,ELL2
505,ELL3
506,ELMO2
507,EMD
508,EML3
509,EML4
510,EMP3
511,ENAH
512,ENO1
